fts_cohort,fts_sub_consolidated,free_trial_fts,non_uploader,fts_refund_chargeback,renewal_refund_chargeback,renewal_gross,fts_gross,fts_net,renewal_net,net_gross_retention,net_net_retention,gross_gross_retention,gross_net_retention,predicted_retention
2020-03-01,pro,1,0,3,2.0,94.0,114,111.0,92.0,0.8070175438596491,0.8288288288288288,0.8245614035087719,0.8468468468468469,0
2020-03-01,pro,1,1,244,43.0,818.0,1357,1113.0,775.0,0.5711127487103905,0.6963162623539982,0.6028002947678703,0.7349505840071878,0
2020-04-01,business,0,0,112,21.0,611.0,821,709.0,590.0,0.7186358099878197,0.8321579689703809,0.7442143727161997,0.8617771509167842,0
2020-04-01,business,0,1,61,12.0,309.0,419,358.0,297.0,0.7088305489260143,0.8296089385474861,0.7374701670644391,0.8631284916201117,0
2020-04-01,business,1,0,9,12.0,193.0,221,212.0,181.0,0.8190045248868778,0.8537735849056604,0.8733031674208145,0.910377358490566,0
2020-04-01,business,1,1,259,30.0,418.0,811,552.0,388.0,0.4784217016029593,0.7028985507246377,0.5154130702836005,0.7572463768115942,0
2020-04-01,other,0,0,18,9.0,152.0,212,194.0,143.0,0.6745283018867925,0.7371134020618557,0.7169811320754716,0.7835051546391752,0
2020-04-01,other,0,1,11,11.0,155.0,212,201.0,144.0,0.6792452830188679,0.7164179104477612,0.7311320754716981,0.7711442786069652,0
2020-04-01,other,1,0,3,0.0,16.0,88,85.0,16.0,0.18181818181818182,0.18823529411764706,0.18181818181818182,0.18823529411764706,0
2020-04-01,other,1,1,31,1.0,39.0,339,308.0,38.0,0.11209439528023599,0.12337662337662338,0.11504424778761062,0.1266233766233766,0
2020-04-01,plus yearly,0,0,505,307.0,9445.0,12037,11532.0,9138.0,0.759159258951566,0.7924037460978148,0.7846639528121625,0.8190253208463406,0
2020-04-01,plus yearly,0,1,519,159.0,3925.0,5498,4979.0,3766.0,0.6849763550381958,0.756376782486443,0.7138959621680611,0.7883109058043783,0
2020-04-01,plus yearly,1,0,29,23.0,513.0,743,714.0,490.0,0.6594885598923284,0.6862745098039216,0.6904441453566622,0.7184873949579832,0
2020-04-01,plus yearly,1,1,2276,433.0,7194.0,13686,11410.0,6761.0,0.49400847581470114,0.5925503943908852,0.5256466462078035,0.6304995617879053,0
2020-04-01,premium yearly,0,0,335,52.0,1151.0,1695,1360.0,1099.0,0.6483775811209439,0.8080882352941177,0.6790560471976401,0.8463235294117647,0
2020-04-01,premium yearly,0,1,153,32.0,537.0,845,692.0,505.0,0.5976331360946746,0.7297687861271677,0.6355029585798817,0.7760115606936416,0
2020-04-01,pro,0,0,321,136.0,3397.0,4405,4084.0,3261.0,0.7402951191827469,0.7984818805093046,0.7711691259931895,0.8317825661116552,0
2020-04-01,pro,0,1,225,63.0,1463.0,2029,1804.0,1400.0,0.6899950714637753,0.7760532150776053,0.7210448496796451,0.8109756097560976,0
2020-04-01,pro,1,0,19,19.0,406.0,490,471.0,387.0,0.789795918367347,0.821656050955414,0.8285714285714286,0.861995753715499,0
2020-04-01,pro,1,1,654,103.0,1828.0,3152,2498.0,1725.0,0.5472715736040609,0.6905524419535628,0.5799492385786802,0.7317854283426741,0
